Reviews,Price,Installs,Size,Paid,Adults,Everyone,Mature,Teen,Unrated,Android Version,Rating
159,0,"10,000",19000000,0,0,1,0,0,0,4.0,4.1
967,0,"500,000",14000000,0,0,1,0,0,0,4.0,3.9
87510,0,"5,000,000",8.7000000,0,0,1,0,0,0,4.0,4.7
215644,0,"50,000,000",25000000,0,0,0,0,1,0,4.2,4.5
967,0,"100,000",2.8000000,0,0,1,0,0,0,4.4,4.3
167,0,"50,000",5.6000000,0,0,1,0,0,0,2.3,4.4
178,0,"50,000",19000000,0,0,1,0,0,0,4.0,3.8
36815,0,"1,000,000",29000000,0,0,1,0,0,0,4.2,4.1
13791,0,"1,000,000",33000000,0,0,1,0,0,0,3.0,4.4
121,0,"10,000",3.1000000,0,0,1,0,0,0,4.0,4.7
13880,0,"1,000,000",28000000,0,0,1,0,0,0,4.1,4.4
8788,0,"1,000,000",12000000,0,0,1,0,0,0,4.0,4.4
44829,0,"10,000,000",20000000,0,0,0,0,1,0,4.1,4.2
4326,0,"100,000",21000000,0,0,1,0,0,0,4.4,4.6
1518,0,"100,000",37000000,0,0,1,0,0,0,2.3,4.4
55,0,"5,000",2.7000000,0,0,1,0,0,0,4.2,3.2
3632,0,"500,000",5.5000000,0,0,1,0,0,0,4.1,4.7
27,0,"10,000",17000000,0,0,1,0,0,0,2.3,4.5
194216,0,"5,000,000",31000000,0,0,1,0,0,0,4.0,4.3
224399,0,"10,000,000",31000000,0,0,1,0,0,0,4.1,4.6
450,0,"100,000",14000000,0,0,1,0,0,0,4.1,4
654,0,"100,000",12000000,0,0,1,0,0,0,4.0,4.1
7699,0,"500,000",4.2000000,0,0,1,0,0,0,4.0,4.7
118,0,"50,000",23000000,0,0,1,0,0,0,4.1,4.7
192,0,"10,000",6.0000000,0,0,1,0,0,0,3.0,4.8
20260,0,"500,000",25000000,0,0,1,0,0,0,4.0,4.7
203,0,"100,000",6.1000000,0,0,1,0,0,0,4.0,4.1
136,0,"10,000",4.6000000,0,0,1,0,0,0,2.3,3.9
