year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2017,1,AA,American Airlines Inc.,ABQ,"Albuquerque, NM: Albuquerque International Sunport",125,31,16.26,1,3.37,0,10.36,1,0,1378,758,21,95,0,504
2017,1,AA,American Airlines Inc.,ALB,"Albany, NY: Albany International",88,10,4.52,0,1.07,0,4.41,1,0,402,171,0,17,0,214
2017,1,AA,American Airlines Inc.,AMA,"Amarillo, TX: Rick Husband Amarillo International",24,6,1.65,0.3,1.27,0,2.79,1,0,419,59,64,166,0,130
2017,1,AA,American Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",1112,204,72.58,2.34,62.09,1.98,65.02,24,6,11968,4237,108,2693,159,4771
2017,1,AA,American Airlines Inc.,AUS,"Austin, TX: Austin - Bergstrom International",729,126,47.75,2.86,36.34,0.99,38.06,2,0,6816,3096,103,1419,110,2088
2017,1,AA,American Airlines Inc.,BDL,"Hartford, CT: Bradley International",348,56,16.54,1.4,17.09,0,20.97,2,0,2859,932,58,526,0,1343
2017,1,AA,American Airlines Inc.,BNA,"Nashville, TN: Nashville International",396,59,22.77,0.02,19.04,0,17.18,2,0,2200,1042,1,475,0,682
2017,1,AA,American Airlines Inc.,BOI,"Boise, ID: Boise Air Terminal",95,7,3.56,0,2.75,0,0.69,0,0,244,131,0,65,0,48
2017,1,AA,American Airlines Inc.,BOS,"Boston, MA: Logan International",1965,322,109.4,5.95,113.71,0,92.94,47,1,15918,5786,280,3815,0,6037
2017,1,AA,American Airlines Inc.,BUF,"Buffalo, NY: Buffalo Niagara International",90,14,4.33,0,7.48,0,2.18,1,0,466,156,0,260,0,50
2017,1,AA,American Airlines Inc.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",443,94,26.23,0.2,28.29,1.06,38.23,0,0,3983,1317,9,704,27,1926
2017,1,AA,American Airlines Inc.,CHS,"Charleston, SC: Charleston AFB/International",43,7,1.17,0,3.2,0,2.63,0,0,287,55,0,111,0,121
2017,1,AA,American Airlines Inc.,CLE,"Cleveland, OH: Cleveland-Hopkins International",190,41,16.3,0,13.93,0,10.78,5,0,1968,928,0,415,0,625
2017,1,AA,American Airlines Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",7930,978,287.77,27.15,310.96,2.95,349.16,156,7,50098,17427,2421,9819,138,20293
2017,1,AA,American Airlines Inc.,CMH,"Columbus, OH: John Glenn Columbus International",193,41,19.04,0,5.93,0,16.03,0,1,2212,1002,0,195,0,1015
2017,1,AA,American Airlines Inc.,COS,"Colorado Springs, CO: City of Colorado Springs Municipal",110,32,12.87,0.39,10.64,0,8.09,4,2,1786,675,73,459,0,579
2017,1,AA,American Airlines Inc.,CRP,"Corpus Christi, TX: Corpus Christi International",24,4,1.39,0,1.32,0,1.29,0,0,175,40,0,26,0,109
2017,1,AA,American Airlines Inc.,DAY,"Dayton, OH: James M Cox/Dayton International",53,15,7.55,0,1,0,6.45,1,0,701,317,0,32,0,352
2017,1,AA,American Airlines Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",2077,336,91.82,10.89,121.72,2.31,109.26,24,4,16440,5204,359,3552,149,7176
2017,1,AA,American Airlines Inc.,DEN,"Denver, CO: Denver International",821,170,40.99,2.62,82.45,0.19,43.74,10,2,8794,2242,200,3385,4,2963
2017,1,AA,American Airlines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",11398,1970,533.44,67.8,625.26,7.24,736.26,143,45,133897,49460,9966,23238,342,50891
2017,1,AA,American Airlines Inc.,DSM,"Des Moines, IA: Des Moines International",109,16,5.39,2,4.83,0,3.77,0,0,684,166,43,111,0,364
2017,1,AA,American Airlines Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County",531,93,34.06,0,29.48,1.28,28.18,4,1,3921,1417,0,914,35,1555
2017,1,AA,American Airlines Inc.,EGE,"Eagle, CO: Eagle County Regional",203,67,20.59,1.4,33.6,0,11.4,24,5,4862,1265,212,1323,0,2062
2017,1,AA,American Airlines Inc.,ELP,"El Paso, TX: El Paso International",116,29,10.96,0.86,9.77,0,7.41,1,0,1308,575,18,276,0,439
